epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4420.04,2.33541,1.04131,2.2963,0.96875,0.85407,0.92854,0.61744,2.47813,1.15595,2.4188,0.0011882,0.0011882,0.0011882
43,4524.3,2.32893,1.02006,2.29282,0.96148,0.88185,0.9483,0.63962,2.44965,1.00519,2.32479,0.0011684,0.0011684,0.0011684
44,4628.51,2.31091,1.04164,2.28504,0.9337,0.88479,0.94587,0.63725,2.3877,1.05642,2.33082,0.0011486,0.0011486,0.0011486
45,4732.7,2.29068,1.0226,2.27142,0.95849,0.88172,0.95509,0.63717,2.43605,1.01584,2.34865,0.0011288,0.0011288,0.0011288
46,4836.94,2.34394,1.0293,2.29844,0.93537,0.86705,0.93726,0.62944,2.44909,1.09878,2.38116,0.001109,0.001109,0.001109
47,4941.19,2.32737,1.04802,2.28934,0.94812,0.8679,0.95276,0.64892,2.35313,0.98789,2.28301,0.0010892,0.0010892,0.0010892
48,5045.54,2.28761,1.00048,2.26803,0.96013,0.8725,0.94853,0.64846,2.35272,0.97389,2.28208,0.0010694,0.0010694,0.0010694
49,5149.72,2.24727,1.00369,2.2326,0.96358,0.89409,0.95934,0.65339,2.38661,0.93325,2.31188,0.0010496,0.0010496,0.0010496
50,5254.14,2.29576,1.00185,2.25491,0.94336,0.89401,0.95384,0.64726,2.37781,0.97341,2.34206,0.0010298,0.0010298,0.0010298
51,5358.35,2.23965,0.97029,2.25086,0.92949,0.89862,0.95199,0.65762,2.34215,0.95795,2.28082,0.00101,0.00101,0.00101
52,5462.77,2.23508,0.97923,2.2362,0.94034,0.90169,0.95497,0.64715,2.43545,0.96622,2.33836,0.0009902,0.0009902,0.0009902
53,5567.06,2.22254,0.9712,2.2558,0.9485,0.91551,0.96049,0.65994,2.35952,0.927,2.32059,0.0009704,0.0009704,0.0009704
54,5671.44,2.21586,0.96819,2.2315,0.97113,0.88633,0.95728,0.65286,2.36545,0.955,2.32863,0.0009506,0.0009506,0.0009506
55,5775.68,2.23627,0.98116,2.26825,0.96076,0.90274,0.96031,0.65406,2.37281,0.93307,2.29333,0.0009308,0.0009308,0.0009308
56,5880.06,2.22484,0.94631,2.24927,0.96739,0.88786,0.95234,0.64712,2.38432,0.97904,2.32014,0.000911,0.000911,0.000911
